gs_name	gene
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000175899
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000115170
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000151651
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000163485
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000150594
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000145192
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000132965
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000177119
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000132703
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000158874
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000128335
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000116539
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000130707
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000086062
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000010671
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000198535
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000205502
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000125730
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000126353
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000177575
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000013725
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000172216
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000118432
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000060566
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000132693
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000178585
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000213918
